pair,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color
85,JNCE_2016026_00C00062_V01.IMG.gz,80,1442.5000409426355,30651.500001665463,825.5000016654632,1442.5000409426355,1,1,JNCE_2016026_00C00062_V01.IMG.gz,2,1436.499964877746,408.5000008167966,480.5000008167966,1436.499964877746,1,3
86,JNCE_2016026_00C00062_V01.IMG.gz,80,1442.5000409426355,30651.500001665463,825.5000016654632,1442.5000409426355,1,1,JNCE_2016026_00C00062_V01.IMG.gz,81,1437.4999713590812,30948.499999590844,711.499999590844,1437.4999713590812,1,2
87,JNCE_2016026_00C00062_V01.IMG.gz,81,1437.4999713590812,30948.499999590844,711.499999590844,1437.4999713590812,1,2,JNCE_2016026_00C00062_V01.IMG.gz,2,1436.499964877746,408.5000008167966,480.5000008167966,1436.499964877746,1,3
88,JNCE_2016026_00C00063_V01.IMG.gz,2,1354.4999862733566,702.6808890438306,828.6808890438306,1354.4999862733566,2,1,JNCE_2016026_00C00063_V01.IMG.gz,3,1350.2051163782062,999.500000316236,714.500000316236,1350.2051163782062,2,2
89,JNCE_2016026_00C00063_V01.IMG.gz,2,1354.4999862733566,702.6808890438306,828.6808890438306,1354.4999862733566,2,1,JNCE_2016026_00C00063_V01.IMG.gz,5,1349.4999484078974,1567.5,487.5,1349.4999484078974,1,3
90,JNCE_2016026_00C00063_V01.IMG.gz,3,1350.2051163782062,999.500000316236,714.500000316236,1350.2051163782062,2,2,JNCE_2016026_00C00063_V01.IMG.gz,5,1349.4999484078974,1567.5,487.5,1349.4999484078974,1,3
91,JNCE_2016026_00C00063_V01.IMG.gz,15,853.5000138163942,5661.500000436307,795.5000004363072,853.5000138163942,1,1,JNCE_2016026_00C00063_V01.IMG.gz,16,853.5000273338184,5956.725746296378,679.7257462963781,853.5000273338184,2,2
92,JNCE_2016026_00C00063_V01.IMG.gz,15,853.5000138163942,5661.500000436307,795.5000004363072,853.5000138163942,1,1,JNCE_2016026_00C00063_V01.IMG.gz,17,852.9412443647963,6252.500002568754,564.5000025687539,852.9412443647963,2,3
93,JNCE_2016026_00C00063_V01.IMG.gz,16,853.5000273338184,5956.725746296378,679.7257462963781,853.5000273338184,2,2,JNCE_2016026_00C00063_V01.IMG.gz,17,852.9412443647963,6252.500002568754,564.5000025687539,852.9412443647963,2,3
94,JNCE_2016026_00C00063_V01.IMG.gz,23,1063.4999949771366,8732.014234660466,794.0142346604665,1063.4999949771366,2,1,JNCE_2016026_00C00063_V01.IMG.gz,24,1062.0713658122875,9027.785894261142,678.785894261141,1062.0713658122875,4,2
95,JNCE_2016026_00C00063_V01.IMG.gz,23,1063.4999949771366,8732.014234660466,794.0142346604665,1063.4999949771366,2,1,JNCE_2016026_00C00063_V01.IMG.gz,25,1061.5000161564171,9324.227303738067,564.2273037380666,1061.5000161564171,2,3
96,JNCE_2016026_00C00063_V01.IMG.gz,24,1062.0713658122875,9027.785894261142,678.785894261141,1062.0713658122875,4,2,JNCE_2016026_00C00063_V01.IMG.gz,25,1061.5000161564171,9324.227303738067,564.2273037380666,1061.5000161564171,2,3
97,JNCE_2016026_00C00063_V01.IMG.gz,25,492.49998915918843,9514.15812798971,808.158127989709,492.49998915918843,2,1,JNCE_2016026_00C00063_V01.IMG.gz,26,494.5000110247921,9810.09277686225,693.0927768622493,494.5000110247921,2,2
98,JNCE_2016026_00C00063_V01.IMG.gz,25,492.49998915918843,9514.15812798971,808.158127989709,492.49998915918843,2,1,JNCE_2016026_00C00063_V01.IMG.gz,27,494.49999346438636,10107.00532107878,579.0053210787785,494.49999346438636,2,3
99,JNCE_2016026_00C00063_V01.IMG.gz,25,492.49998915918843,9514.15812798971,808.158127989709,492.49998915918843,2,1,JNCE_2016026_00C00063_V01.IMG.gz,28,493.49998804727875,10376.500000073782,464.50000007378225,493.49998804727875,1,3
100,JNCE_2016026_00C00063_V01.IMG.gz,26,494.5000110247921,9810.09277686225,693.0927768622493,494.5000110247921,2,2,JNCE_2016026_00C00063_V01.IMG.gz,27,494.49999346438636,10107.00532107878,579.0053210787785,494.49999346438636,2,3
101,JNCE_2016026_00C00063_V01.IMG.gz,26,494.5000110247921,9810.09277686225,693.0927768622493,494.5000110247921,2,2,JNCE_2016026_00C00063_V01.IMG.gz,28,493.49998804727875,10376.500000073782,464.50000007378225,493.49998804727875,1,3
102,JNCE_2016026_00C00063_V01.IMG.gz,27,494.49999346438636,10107.00532107878,579.0053210787785,494.49999346438636,2,3,JNCE_2016026_00C00063_V01.IMG.gz,28,493.49998804727875,10376.500000073782,464.50000007378225,493.49998804727875,1,3
103,JNCE_2016026_00C00063_V01.IMG.gz,31,275.4999966304801,11809.186273996667,799.1862739966679,275.4999966304801,2,1,JNCE_2016026_00C00063_V01.IMG.gz,32,278.49999200331507,12106.49999778405,685.4999977840512,278.49999200331507,1,2
104,JNCE_2016026_00C00063_V01.IMG.gz,58,671.4999935374333,22241.866989370894,863.8669893708953,671.4999935374333,2,1,JNCE_2016026_00C00063_V01.IMG.gz,60,672.4999920963033,22805.49999941454,632.499999414541,672.4999920963033,1,2
105,JNCE_2016026_00C00063_V01.IMG.gz,58,671.4999935374333,22241.866989370894,863.8669893708953,671.4999935374333,2,1,JNCE_2016026_00C00063_V01.IMG.gz,61,672.4999915111493,23101.500000175027,517.5000001750278,672.4999915111493,1,3
106,JNCE_2016026_00C00063_V01.IMG.gz,60,672.4999920963033,22805.49999941454,632.499999414541,672.4999920963033,1,2,JNCE_2016026_00C00063_V01.IMG.gz,61,672.4999915111493,23101.500000175027,517.5000001750278,672.4999915111493,1,3
107,JNCE_2016026_00C00070_V01.IMG.gz,6,671.4999924924228,2253.295744765568,843.2957447655681,671.4999924924228,2,1,JNCE_2016026_00C00070_V01.IMG.gz,7,672.5000081501142,2548.499997283295,727.4999972832952,672.5000081501142,1,2
